Title,Publisher,Developer,NA Sales,Release Date,Last Update,Year
Call of Duty: Black Ops 3,Activision,Treyarch,15090000,2015-11-06,2018-01-14,2015.0
Red Dead Redemption 2Read the review,Rockstar Games,Rockstar Games,13940000,2018-10-26,2018-11-02,2018.0
Call of Duty: WWIIRead the review,Activision,Sledgehammer Games,13400000,2017-11-03,2017-12-31,2017.0
FIFA 18,EA Sports,EA Vancouver,11800000,2017-09-29,2018-04-02,2017.0
FIFA 17,Electronic Arts,EA Canada,10940000,2016-09-27,2018-03-28,2016.0
Call of Duty: Black Ops IIII,Activision,Treyarch,9320000,2018-10-12,2018-11-07,2018.0
FIFA 19,Electronic Arts,EA Sports,9150000,2018-09-28,2018-09-12,2018.0
Call of Duty: Infinite Warfare,Activision,Infinity Ward,8480000,2016-11-04,2018-01-14,2016.0
Fallout 4,Bethesda Softworks,Bethesda Game Studios,8480000,2015-11-10,2018-03-24,2015.0
FIFA 16,EA Sports,EA Canada,8220000,2015-09-22,2018-04-01,2015.0
Star Wars Battlefront (2015)Read the review,Electronic Arts,EA DICE,8029999,2015-11-17,2018-03-24,2015.0
Call of Duty: Black Ops 3,Activision,Treyarch,7370000,2015-11-06,2018-01-14,2015.0
Battlefield 1,Electronic Arts,EA DICE,7260000,2016-10-21,2018-03-24,2016.0
Call of Duty: WWII,Activision,Sledgehammer Games,6230000,2017-11-03,2017-12-30,2017.0
Red Dead Redemption 2,Rockstar Games,Rockstar Games,5770000,2018-10-26,2018-11-02,2018.0
Battlefield 1,Electronic Arts,EA DICE,5130000,2016-10-21,2018-03-24,2016.0
Final Fantasy XV,Square Enix,Square Enix,5070000,2016-11-29,2018-05-04,2016.0
Fallout 4,Bethesda Softworks,Bethesda Game Studios,5030000,2015-11-10,2018-03-24,2015.0
Call of Duty: Black Ops IIII,Activision,Treyarch,4850000,2018-10-12,2018-11-07,2018.0
Crash Bandicoot N. Sane Trilogy,Activision,Vicarious Visions,4830000,2017-06-30,2018-09-23,2017.0
Call of Duty: Infinite Warfare,Activision,Infinity Ward,4790000,2016-11-04,2018-03-24,2016.0
Overwatch,Blizzard Entertainment,Blizzard Entertainment,4540000,2016-05-24,2018-03-24,2016.0
Star Wars Battlefront II (2017),Electronic Arts,EA DICE,4530000,2017-11-17,2017-12-29,2017.0
Tom Clancy's The Division,Ubisoft,Massive Entertainment,4370000,2016-03-08,2018-05-04,2016.0
Tom Clancy's Rainbow Six: Siege,Ubisoft,Ubisoft Montreal,4360000,2015-12-01,2024-02-02,2015.0
Star Wars Battlefront (2015),Electronic Arts,EA DICE,4150000,2015-11-17,2018-03-24,2015.0
Destiny 2,Activision,Bungie,4139999,2017-09-06,2018-04-20,2017.0
Batman: Arkham Knight,Warner Bros. Interactive,Rocksteady Studios,4110000,2015-06-23,2018-01-04,2015.0
Assassin's Creed Origins,Ubisoft,Ubisoft Montreal,4059999,2017-10-27,2018-01-10,2017.0
NBA 2K16,2K Sports,Visual Concepts,3980000,2015-09-29,2018-03-28,2015.0
Far Cry 5,Ubisoft,Ubisoft,3950000,2018-03-27,2018-02-28,2018.0
FIFA 17,Electronic Arts,EA Canada,3710000,2016-09-27,2018-03-28,2016.0
Assassin's Creed Syndicate,Ubisoft,Ubisoft Quebec,3600000,2015-10-23,2018-05-04,2015.0
NBA 2K17,2K Sports,Visual Concepts,3520000,2016-09-16,2018-03-28,2016.0
Mortal Kombat XRead the review,Warner Bros. Interactive Entertainment,NetherRealm Studios,3490000,2015-04-14,2018-01-04,2015.0
Gears of War 4,Microsoft Studios,The Coalition,3380000,2016-10-11,2018-01-13,2016.0
The Elder Scrolls V: Skyrim Special Edition,Bethesda Softworks,Bethesda Softworks,3360000,2016-10-28,2018-04-01,2016.0
NBA 2K18,2K Sports,Visual Concepts,3340000,2017-09-19,2018-04-02,2017.0
Madden NFL 16,EA Sports,EA Tiburon,3300000,2015-08-25,2018-03-31,2015.0
Madden NFL 17,EA Sports,EA Tiburon,3280000,2016-08-23,2018-04-01,2016.0
FIFA 16,EA Sports,EA Canada,3250000,2015-09-22,2018-04-01,2015.0
Assassin's Creed Odyssey,Ubisoft,Ubisoft Quebec,3180000,2018-10-05,2018-11-17,2018.0
FIFA 18,EA Sports,EA Vancouver,3140000,2017-09-29,2018-04-02,2017.0
Tom Clancy's Ghost Recon Wildlands,Ubisoft,Ubisoft Paris,3120000,2017-03-07,2018-04-01,2017.0
Metal Gear Solid V: The Phantom Pain,Konami Digital Entertainment,Kojima Productions,3040000,2015-09-01,2018-05-04,2015.0
Mafia III,2K Games,Hangar 13,2870000,2016-10-07,2018-04-02,2016.0
Far Cry: Primal,Ubisoft,Ubisoft Montreal,2730000,2016-02-23,2018-04-03,2016.0
Overwatch,Blizzard Entertainment,Blizzard Entertainment,2720000,2016-05-24,2018-03-24,2016.0
Need for Speed (2015),Electronic Arts,Ghost Games,2720000,2015-11-03,2018-04-03,2015.0
Tom Clancy's Rainbow Six: Siege,Ubisoft,Ubisoft Montreal,2710000,2015-12-01,2018-01-09,2015.0
NBA 2K19,2K Sports,Visual Concepts,2630000,2018-09-11,2018-09-26,2018.0
Madden NFL 18,EA Sports,EA Tiburon,2620000,2017-08-25,2018-04-03,2017.0
Tom Clancy's The Division,Ubisoft,Massive Entertainment,2590000,2016-03-08,2018-05-04,2016.0
FIFA 16,EA Sports,EA Canada,2550000,2015-09-22,2018-04-01,2015.0
Assassin's Creed Origins,Ubisoft,Ubisoft Montreal,2470000,2017-10-27,2018-01-10,2017.0
Madden NFL 16,EA Sports,EA Tiburon,2470000,2015-08-25,2018-03-31,2015.0
Dying LightRead the review,Warner Bros. Interactive,Techland,2450000,2015-01-27,2018-05-04,2015.0
Madden NFL 17,EA Sports,EA Tiburon,2440000,2016-08-23,2018-04-01,2016.0
NBA 2K16,2K Sports,Visual Concepts,2410000,2015-09-29,2018-03-28,2015.0
Destiny 2,Activision,Bungie,2350000,2017-09-06,2018-04-20,2017.0
No Man's Sky,Hello Games,Hello Games,2260000,2016-08-09,2018-04-04,2016.0
Battlefield VRead the review,Electronic Arts,EA DICE,2220000,2018-11-20,2018-12-19,2018.0
FIFA 19,Electronic Arts,EA Sports,2220000,2018-09-28,2018-09-12,2018.0
Madden NFL 19,EA Sports,EA Tiburon,2210000,2018-08-10,2018-02-27,2018.0
Need for Speed: Payback,Electronic Arts,Ghost Games,2180000,2017-11-10,2018-04-04,2017.0
Destiny: The Taken King,Activision,Bungie,2180000,2015-09-15,2018-04-20,2015.0
Spyro Reignited TrilogyRead the review,Activision,Toys for Bob,2170000,2018-11-13,2018-04-08,2018.0
PlayerUnknown's Battlegrounds,Microsoft Studios,PUBG Corporation,2170000,2017-12-12,2018-01-16,2017.0
PlayStation VR Worlds,Sony Interactive Entertainment,SIE London Studio,2160000,2016-10-13,2018-04-06,2016.0
Battlefield: Hardline,Electronic Arts,EA DICE,2150000,2015-03-17,2018-04-11,2015.0
Rise of the Tomb Raider,Square Enix,Crystal Dynamics,2069999,2016-10-11,2018-04-11,2016.0
The Elder Scrolls Online: Tamriel Unlimited,Bethesda Softworks,ZeniMax Online Studios,2049999,2015-06-09,2018-09-15,2015.0
Middle-Earth: Shadow of War,Warner Bros. Interactive Entertainment,Monolith Productions,2040000,2017-10-10,2018-01-10,2017.0
Dragon Quest XI: Echoes of an Elusive Age,Square Enix,Square Enix,2040000,2018-09-04,2018-09-11,2018.0
NBA 2K17,2K Sports,Visual Concepts,2040000,2016-09-16,2018-03-28,2016.0
Rocket League,505 Games,Psyonix Studios,2020000,2016-07-05,2018-04-04,2016.0
NBA 2K18,2K Sports,Visual Concepts,2020000,2017-09-19,2018-04-02,2017.0
Call of Duty: Black Ops 3,Activision,Treyarch,2009999,2015-11-06,2018-01-14,2015.0
Just Cause 3,Square Enix,Avalanche Studios,1980000,2015-12-01,2018-04-04,2015.0
Dishonored 2,Bethesda Softworks,Arkane Studios,1970000,2016-11-10,2018-04-25,2016.0
