Title,Publisher,Developer,Other Sales,Release Date,Last Update,Year
Call of Duty: Black Ops 3,Activision,Treyarch,410000,2015-11-06,2018-01-14,2015.0
Red Dead Redemption 2Read the review,Rockstar Games,Rockstar Games,210000,2018-10-26,2018-11-02,2018.0
Call of Duty: WWIIRead the review,Activision,Sledgehammer Games,400000,2017-11-03,2017-12-31,2017.0
FIFA 18,EA Sports,EA Vancouver,150000,2017-09-29,2018-04-02,2017.0
FIFA 17,Electronic Arts,EA Canada,120000,2016-09-27,2018-03-28,2016.0
Call of Duty: Black Ops IIII,Activision,Treyarch,500000,2018-10-12,2018-11-07,2018.0
FIFA 19,Electronic Arts,EA Sports,100000,2018-09-28,2018-09-12,2018.0
Call of Duty: Infinite Warfare,Activision,Infinity Ward,190000,2016-11-04,2018-01-14,2016.0
Fallout 4,Bethesda Softworks,Bethesda Game Studios,270000,2015-11-10,2018-03-24,2015.0
FIFA 16,EA Sports,EA Canada,70000,2015-09-22,2018-04-01,2015.0
Star Wars Battlefront (2015)Read the review,Electronic Arts,EA DICE,230000,2015-11-17,2018-03-24,2015.0
Call of Duty: Black Ops 3,Activision,Treyarch,20000,2015-11-06,2018-01-14,2015.0
Battlefield 1,Electronic Arts,EA DICE,290000,2016-10-21,2018-03-24,2016.0
Battlefield 1,Electronic Arts,EA DICE,20000,2016-10-21,2018-03-24,2016.0
Final Fantasy XV,Square Enix,Square Enix,1050000,2016-11-29,2018-05-04,2016.0
Fallout 4,Bethesda Softworks,Bethesda Game Studios,20000,2015-11-10,2018-03-24,2015.0
Crash Bandicoot N. Sane Trilogy,Activision,Vicarious Visions,70000,2017-06-30,2018-09-23,2017.0
Overwatch,Blizzard Entertainment,Blizzard Entertainment,170000,2016-05-24,2018-03-24,2016.0
Star Wars Battlefront II (2017),Electronic Arts,EA DICE,120000,2017-11-17,2017-12-29,2017.0
Tom Clancy's The Division,Ubisoft,Massive Entertainment,160000,2016-03-08,2018-05-04,2016.0
Tom Clancy's Rainbow Six: Siege,Ubisoft,Ubisoft Montreal,360000,2015-12-01,2024-02-02,2015.0
Star Wars Battlefront (2015),Electronic Arts,EA DICE,20000,2015-11-17,2018-03-24,2015.0
Destiny 2,Activision,Bungie,100000,2017-09-06,2018-04-20,2017.0
Batman: Arkham Knight,Warner Bros. Interactive,Rocksteady Studios,110000,2015-06-23,2018-01-04,2015.0
Assassin's Creed Origins,Ubisoft,Ubisoft Montreal,110000,2017-10-27,2018-01-10,2017.0
NBA 2K16,2K Sports,Visual Concepts,50000,2015-09-29,2018-03-28,2015.0
