Title,Publisher,Developer,Total Sales,Release Date,Last Update,Year
PlayerUnknown's Battlegrounds,PUBG Corporation,PUBG Corporation,75000000,2017-12-17,2020-10-24,2017.0
PUBG,PUBG Corporation,PUBG Corporation,75000000,2017-12-20,2020-03-16,2017.0
Red Dead Redemption 2,Rockstar Games,Rockstar Studios,65000000,2018-10-26,2020-10-08,2018.0
Mario Kart 8 Deluxe,Nintendo,Nintendo EPD,62900000,2017-04-28,2018-11-19,2017.0
Marvel's Spider-Man,Sony Interactive Entertainment,Insomniac Games,51000000,2018-09-07,2023-01-08,2018.0
Human: Fall Flat,Curve Digital,No Brakes Games,50000000,2016-07-22,2021-02-11,2016.0
The Witcher 3: Wild Hunt,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,50000000,2015-05-18,2020-10-29,2015.0
Animal Crossing: New HorizonsRead the review,Nintendo,Nintendo,45850000,2020-03-20,2020-04-11,2020.0
PLAYERUNKNOWN'S BATTLEGROUNDS,PUBG Corporation,PUBG Corporation,36600000,2017-12-21,2019-04-29,2017.0
Super Smash Bros. UltimateRead the review,Nintendo,Bandai Namco Games,34660000,2018-12-07,2022-10-02,2018.0
The Legend of Zelda: Breath of the Wild,Nintendo,Nintendo,33750000,2017-03-03,2023-02-07,2017.0
Horizon,Sony Interactive Entertainment,Guerrilla Games,32700000,2017-02-28,2020-09-24,2017.0
The Legend of Zelda: Breath of the Wild,Nintendo,Nintendo EPD,32049999,2017-03-03,2018-11-19,2017.0
Splatoon,Nintendo,Nintendo,30510000,2015-05-29,2020-02-16,2015.0
Call of Duty: Modern Warfare,Activision,Infinity Ward,30000000,2019-10-25,2020-11-29,2019.0
Call of Duty: Vanguard,Activision,Sledgehammer Games,30000000,2021-11-05,2024-04-06,2021.0
Diablo III,Blizzard Entertainment,Blizzard Entertainment,30000000,2015-05-15,2020-10-29,2015.0
Dying Light,Techland,Techland,30000000,2015-01-27,2022-04-22,2015.0
Stardew Valley,Chucklefish,ConcernedApe,30000000,2016-02-26,2020-02-12,2016.0
Stardew Valley,ConcernedApe,ConcernedApe,30000000,2016-02-26,2020-12-28,2016.0
Super Mario OdysseyRead the review,Nintendo,Nintendo EPD,28210000,2017-10-27,2018-11-19,2017.0
FIFA 18,Electronic Arts,EA Vancouver,26400000,2017-09-26,2020-10-15,2017.0
Pokémon Sword / ShieldRead the review,Nintendo,Game Freak,26350000,2019-11-15,2019-11-21,2019.0
Monster Hunter: World,Capcom,Capcom,26300000,2018-01-26,2020-10-13,2018.0
Pokémon Scarlet / VioletRead the review,Nintendo,Game Freak,25290000,2022-11-18,2022-05-31,2022.0
Cyberpunk 2077,CD Projekt Red Studio,CD Projekt Red Studio,25000000,2020-12-10,2022-10-02,2020.0
