name,released,rating,rating_top,ratings_count,metacritic,updated,reviews_count,age_rating,genre,subgenre_1,subgenre_2,subgenre_3,subgenre_4,subgenre_5,subgenre_6,subgenre_7,subgenre_8,subgenre_9,subgenre_10,num_stores,platform_1,platform_2,platform_3,platform_4,platform_5,platform_6,platform_7,platform_8,platform_9,platform_10,platform_11,platform_12,platform_13,platform_14,platform_15,platform_16,platform_17,platform_18,platform_19,platform_20,platform_21,platform_22,store1,store2,store3,store4,store5,store6,store7,store8,store9,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,tag12,tag13,tag14,tag15,tag16,tag17,tag18,tag19,tag20,tag21,tag22,tag23,tag24,tag25,tag26,tag27,tag28,tag29,tag30,tag31,tag32,tag33,tag34,tag35,tag36,tag37,tag38,tag39,tag40,tag41,tag42,tag43,tag44,tag45,tag46,tag47,tag48,tag49,tag50,tag51,tag52,tag53,tag54,tag55,num_tags,num_platforms,total_platform_game_counts,total_games_counts_stores,Publisher,Developer,NA Sales
The Elder Scrolls V: Skyrim,2011-11-11,4,5,4637,94,2024-08-29 07:37:22,4686,Mature,'Action',RPG,0,0,0,0,0,0,0,0,0,4,PC,Xbox Series S/X,PlayStation 5,Xbox One,PlayStation 4,Nintendo Switch,Xbox 360,PlayStation 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PlayStation Store,Steam,Nintendo Store,Xbox 360 Store,0,0,0,0,0,Singleplayer,Steam Achievements,Steam Cloud,Atmospheric,steam-trading-cards,Great Soundtrack,RPG,Story Rich,Open World,First-Person,Third Person,Partial Controller Support,Fantasy,Sandbox,Action RPG,Steam Workshop,role-playing,Moddable,Character Customization,Dark Fantasy,Medieval,Magic,Lore-Rich,Dragons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,8,561040,117005,Bethesda Softworks,Bethesda Softworks,1150000
Red Dead Redemption 2,2018-10-26,4,5,5006,96,2024-08-27 15:25:00,5119,Mature,'Action',0,0,0,0,0,0,0,0,0,0,4,PC,PlayStation 4,Xbox One,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PlayStation Store,Epic Games,Steam,Xbox Store,0,0,0,0,0,Singleplayer,Multiplayer,Atmospheric,Great Soundtrack,Co-op,Story Rich,Open World,First-Person,Third Person,Partial Controller Support,FPS,Online Co-Op,Gore,Exploration,Sandbox,Violent,Third-Person Shooter,PvP,In-App Purchases,Mature,Historical,Realistic,Cinematic,Crime,Online PvP,3rd-Person Perspective,Blood,America,Masterpiece,Beautiful,Hunting,Western,3rd-person,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3,547486,112253,Rockstar Games,Rockstar Games,5770000
Life is Strange,2015-01-29,4,5,3622,83,2024-08-24 20:04:32,3669,Mature,'Adventure',0,0,0,0,0,0,0,0,0,0,7,PC,Linux,PlayStation 3,macOS,iOS,Xbox 360,Android,PlayStation 4,Xbox One,0,0,0,0,0,0,0,0,0,0,0,0,0,GOG,PlayStation Store,Steam,Xbox Store,Google Play,Xbox 360 Store,App Store,0,0,Singleplayer,Full controller support,Atmospheric,steam-trading-cards,Great Soundtrack,Story Rich,Third Person,Female Protagonist,Dark,Point & Click,Short,Mystery,Choices Matter,Memes,Walking Simulator,Multiple Endings,Story,Episodic,Soundtrack,Time Travel,Time Manipulation,student,strange,photography,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,9,865242,211762,Square Enix,DONTNOD Entertainment,370000
Destiny 2,2017-09-06,3,4,2595,82,2024-08-24 15:16:53,2620,Teen,'Action',Shooter,0,0,0,0,0,0,0,0,0,4,PlayStation 4,Xbox One,PC,Web,Xbox Series S/X,PlayStation 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Epic Games,PlayStation Store,Xbox Store,Steam,0,0,0,0,0,Singleplayer,Multiplayer,Full controller support,Atmospheric,Great Soundtrack,Co-op,Open World,cooperative,First-Person,Sci-fi,FPS,Online Co-Op,Exploration,Free to Play,Online multiplayer,Action-Adventure,PvP,Space,Futuristic,combat,Aliens,Story,3rd-Person Perspective,online,MMORPG,PvE,Loot,Lore-Rich,city,console,friends,Masterpiece,weapons,skill,destroy,collect,hunt,gun,rain,enemy,quick,darkness,defender,0,0,0,0,0,0,0,0,0,0,0,0,43,6,809651,112253,Activision,Bungie,4139999
Destiny 2,2017-09-06,3,4,2595,82,2024-08-24 15:16:53,2620,Teen,'Action',Shooter,0,0,0,0,0,0,0,0,0,4,PlayStation 4,Xbox One,PC,Web,Xbox Series S/X,PlayStation 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Epic Games,PlayStation Store,Xbox Store,Steam,0,0,0,0,0,Singleplayer,Multiplayer,Full controller support,Atmospheric,Great Soundtrack,Co-op,Open World,cooperative,First-Person,Sci-fi,FPS,Online Co-Op,Exploration,Free to Play,Online multiplayer,Action-Adventure,PvP,Space,Futuristic,combat,Aliens,Story,3rd-Person Perspective,online,MMORPG,PvE,Loot,Lore-Rich,city,console,friends,Masterpiece,weapons,skill,destroy,collect,hunt,gun,rain,enemy,quick,darkness,defender,0,0,0,0,0,0,0,0,0,0,0,0,43,6,809651,112253,Activision,Bungie,2350000
Destiny 2,2017-09-06,3,4,2595,82,2024-08-24 15:16:53,2620,Teen,'Action',Shooter,0,0,0,0,0,0,0,0,0,4,PlayStation 4,Xbox One,PC,Web,Xbox Series S/X,PlayStation 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Epic Games,PlayStation Store,Xbox Store,Steam,0,0,0,0,0,Singleplayer,Multiplayer,Full controller support,Atmospheric,Great Soundtrack,Co-op,Open World,cooperative,First-Person,Sci-fi,FPS,Online Co-Op,Exploration,Free to Play,Online multiplayer,Action-Adventure,PvP,Space,Futuristic,combat,Aliens,Story,3rd-Person Perspective,online,MMORPG,PvE,Loot,Lore-Rich,city,console,friends,Masterpiece,weapons,skill,destroy,collect,hunt,gun,rain,enemy,quick,darkness,defender,0,0,0,0,0,0,0,0,0,0,0,0,43,6,809651,112253,Activision,Bungie,160000
Fallout 4,2015-11-09,3,4,3273,84,2024-08-20 17:14:15,3302,Mature,'Action',RPG,0,0,0,0,0,0,0,0,0,3,PlayStation 4,PC,PlayStation 5,Xbox One,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PlayStation Store,Xbox Store,Steam,0,0,0,0,0,0,Singleplayer,Steam Achievements,Full controller support,Steam Cloud,Atmospheric,Great Soundtrack,RPG,Story Rich,Open World,First-Person,Third Person,Sci-fi,FPS,Exploration,Sandbox,Survival,Action RPG,Third-Person Shooter,Post-apocalyptic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,548593,110908,Bethesda Softworks,Bethesda Game Studios,8480000
Fallout 4,2015-11-09,3,4,3273,84,2024-08-20 17:14:15,3302,Mature,'Action',RPG,0,0,0,0,0,0,0,0,0,3,PlayStation 4,PC,PlayStation 5,Xbox One,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PlayStation Store,Xbox Store,Steam,0,0,0,0,0,0,Singleplayer,Steam Achievements,Full controller support,Steam Cloud,Atmospheric,Great Soundtrack,RPG,Story Rich,Open World,First-Person,Third Person,Sci-fi,FPS,Exploration,Sandbox,Survival,Action RPG,Third-Person Shooter,Post-apocalyptic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,548593,110908,Bethesda Softworks,Bethesda Game Studios,5030000
Terraria,2011-05-16,4,4,2348,81,2024-08-29 07:23:07,2372,Teen,'Action',Indie,Platformer,0,0,0,0,0,0,0,0,7,Xbox 360,Wii U,Nintendo 3DS,Xbox One,PlayStation 4,iOS,PC,macOS,Linux,Nintendo Switch,PlayStation 3,PS Vita,Android,0,0,0,0,0,0,0,0,0,Xbox Store,Steam,GOG,Nintendo Store,App Store,Google Play,PlayStation Store,0,0,Singleplayer,Steam Achievements,Multiplayer,Full controller support,Steam Cloud,Atmospheric,steam-trading-cards,RPG,Co-op,Open World,2D,Online Co-Op,Exploration,Sandbox,Survival,Online multiplayer,Pixel Graphics,role-playing,controller support,Family Friendly,Replay Value,Crafting,Building,overlay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,13,875011,218892,505 Games,Re-Logic,120000
Terraria,2011-05-16,4,4,2348,81,2024-08-29 07:23:07,2372,Teen,'Action',Indie,Platformer,0,0,0,0,0,0,0,0,7,Xbox 360,Wii U,Nintendo 3DS,Xbox One,PlayStation 4,iOS,PC,macOS,Linux,Nintendo Switch,PlayStation 3,PS Vita,Android,0,0,0,0,0,0,0,0,0,Xbox Store,Steam,GOG,Nintendo Store,App Store,Google Play,PlayStation Store,0,0,Singleplayer,Steam Achievements,Multiplayer,Full controller support,Steam Cloud,Atmospheric,steam-trading-cards,RPG,Co-op,Open World,2D,Online Co-Op,Exploration,Sandbox,Survival,Online multiplayer,Pixel Graphics,role-playing,controller support,Family Friendly,Replay Value,Crafting,Building,overlay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,13,875011,218892,505 Games,Re-Logic,40000
