game_id,game_name,released,tba,age rating,genre,subgenre,owned,numero_plataformas,rating_top,ratings_count,added,metacritic,suggestions_count,numero_stores
5074,echoshift,2010-02-25,False,Everyone 10+,Puzzle,no,6.0,3,0,2,12,0.0,68,1
349617,RetroArch,2010-05-26,False,Mature,Simulation,no,8.0,22,0,2,17,0.0,120,2
5679,The Elder Scrolls V: Skyrim,2011-11-11,False,Mature,Action,RPG,9518.0,8,5,4632,15889,94.0,602,4
23600,Diablo III,2012-05-15,False,Mature,Action,RPG,880.0,9,4,862,2292,88.0,581,3
16252,The Dark Eye: Chains of Satinav,2012-06-22,False,Mature,Indie,Adventure,1424.0,7,4,104,1650,75.0,683,4
3042,Infestor,2013-01-17,False,Teen,Adventure,"Action, Puzzle, Casual, Arcade",16.0,6,0,3,21,0.0,506,3
766,Warframe,2013-03-25,False,Mature,Shooter,"Massively Multiplayer, Action, RPG",9960.0,7,4,2043,12406,73.0,730,6
3727,FINAL FANTASY XIV: A Realm Reborn,2013-08-27,False,Mature,Massively Multiplayer,RPG,1518.0,5,4,296,1968,83.0,665,2
540108,The Dark Eye: Memoria,2013-08-29,False,Mature,Indie,Adventure,7.0,6,0,4,12,0.0,600,2
3498,Grand Theft Auto V,2013-09-17,False,Mature,Action,no,12151.0,7,5,6855,21102,92.0,434,5
42336,Grand Theft Auto Online,2013-10-01,False,Mature,Shooter,Action,34.0,5,4,147,266,82.0,543,0
16532,Dreaming Sarah,2014-03-06,False,Mature,Adventure,"Puzzle, Casual, Indie, Platformer",727.0,7,4,33,813,0.0,376,4
3328,The Witcher 3: Wild Hunt,2015-05-18,False,Mature,Action,RPG,12003.0,7,5,6598,20584,92.0,677,5
23900,Fatal Frame: Maiden of Black Water,2015-10-22,False,Mature,Adventure,Action,66.0,7,4,13,121,67.0,745,4
3070,Fallout 4,2015-11-09,False,Mature,Action,RPG,8543.0,4,4,3273,13480,84.0,460,3
8488,Tom Clancy's Rainbow Six Siege,2015-12-01,False,Teen,Shooter,Action,5957.0,5,4,1472,7812,75.0,473,4
19946,C14 Dating,2016-04-22,False,Mature,Casual,"Indie, Adventure",7.0,6,0,3,11,0.0,574,4
2462,Uncharted 4: A Thief’s End,2016-05-10,False,Teen,Shooter,Action,4748.0,2,5,3512,9155,93.0,675,1
14295,A Little Lily Princess,2016-05-19,False,Mature,Indie,"Adventure, Simulation",46.0,6,5,5,60,0.0,428,4
12157,POSTAL Redux,2016-05-20,False,Mature,Shooter,"Indie, Action",840.0,4,4,82,947,54.0,560,2
9966,Dead by Daylight,2016-06-14,False,Mature,Action,no,4357.0,5,4,941,5654,72.0,1089,6
2093,No Man's Sky,2016-08-09,False,Teen,Adventure,"Action, RPG, Simulation, Indie, Massively Multiplayer",5475.0,5,4,1512,7684,75.0,760,5
14200,Sally Face,2016-08-16,False,Mature,Indie,"Adventure, Puzzle",302.0,8,5,108,511,0.0,302,5
257255,The Witcher 3 Wild Hunt - Complete Edition,2016-08-30,False,Mature,Adventure,RPG,302.0,6,5,722,1339,92.0,88,6
14252,Can't Drive This,2016-09-25,False,Mature,Casual,"Racing, Indie, Puzzle",58.0,7,3,8,67,70.0,272,4
795332,Dead by Daylight - The Halloween,2016-10-25,False,Mature,Action,no,1.0,6,0,0,1,0.0,484,2
9644,Planet Coaster,2016-11-17,False,Everyone,Strategy,Simulation,2176.0,5,4,285,2634,83.0,565,1
13108,Donuts'n'Justice,2016-11-22,False,Mature,Indie,"Shooter, Arcade, Action",86.0,4,0,1,90,0.0,457,4
382,Sniper Elite 4,2017-02-13,False,Mature,Shooter,"Adventure, Action",3475.0,6,4,709,4575,78.0,646,4
10204,Pavlov VR,2017-02-27,False,Mature,Indie,Action,730.0,2,4,64,824,0.0,111,1
12216,Maximum Override,2017-03-09,False,Everyone 10+,Shooter,"Action, Casual, Simulation, Indie",38.0,6,0,3,42,0.0,146,1
11679,GUNGUNGUN,2017-03-10,False,Mature,Indie,Action,3.0,4,0,1,5,0.0,288,1
10872,Battle Brothers,2017-03-23,False,Mature,Strategy,"Indie, RPG",446.0,6,5,111,595,80.0,483,3
635390,Within the Blade,2017-05-10,False,Mature,Platformer,"Indie, Action",46.0,5,0,2,52,0.0,405,2
795327,Dead by Daylight - Spark of Madness,2017-05-11,False,Mature,Adventure,Action,472.0,6,0,0,0,0.0,384,1
9972,Downward: Enhanced Edition,2017-07-13,False,Everyone 10+,Adventure,Action,135.0,5,3,13,172,77.0,482,4
795337,Dead by Daylight - A Lullaby for the Dark,2017-07-27,False,Mature,Action,no,1.0,6,0,0,1,0.0,564,2
795330,Dead by Daylight - Charity Case,2017-08-10,False,Mature,Action,no,472.0,6,0,0,0,0.0,146,2
21926,Uncharted: The Lost Legacy,2017-08-22,False,Teen,Adventure,Action,1976.0,2,4,1217,4031,85.0,433,1
32,Destiny 2,2017-09-06,False,Teen,Shooter,Action,10456.0,6,4,2594,13771,82.0,1230,4
12258,Ys VIII: Lacrimosa of DANA,2017-09-11,False,Teen,Action,RPG,278.0,7,5,65,474,80.0,336,4
795336,Dead by Daylight - Leatherface,2017-09-14,False,Mature,Action,no,2.0,6,0,1,2,0.0,421,2
47137,Fortnite Battle Royale,2017-09-26,False,Teen,Shooter,Action,3755.0,8,3,1039,5149,0.0,537,5
795335,Dead by Daylight - A Nightmare on Elm Street,2017-10-26,False,Mature,Action,no,2.0,6,0,0,2,0.0,408,2
47585,Legends of Talia: Arcadia,2017-10-27,False,Mature,Simulation,no,85.0,5,1,9,99,0.0,547,2
795341,Dead by Daylight - The Saw,2018-01-23,False,Mature,Action,no,1.0,6,0,0,1,0.0,397,2
10419,Subnautica,2018-01-23,False,Everyone 10+,Indie,Adventure,4163.0,7,5,1398,6687,83.0,868,5
52181,DYNASTY WARRIORS 9,2018-02-08,False,Teen,Adventure,Action,526.0,6,1,62,588,65.0,451,3
59227,Fist of The North Star: Lost Paradise,2018-03-08,False,Mature,Adventure,Action,258.0,2,4,43,358,72.0,407,1
23417,Bio Inc. Redemption,2018-03-08,False,Teen,Strategy,Simulation,136.0,8,4,33,183,0.0,280,5
50781,Sea of Thieves,2018-03-20,False,Teen,Massively Multiplayer,"Adventure, Action",4029.0,4,4,1029,5351,68.0,463,2
44455,DRIFT21 / DRIFTCE,2018-04-25,False,Everyone,Racing,Simulation,131.0,5,0,2,135,0.0,216,3
917743,Khara The Game,2018-05-16,False,Teen,Adventure,no,1.0,2,0,1,3,0.0,422,1
49382,Slipstream,2018-05-20,False,Everyone,Casual,"Racing, Indie",737.0,7,4,53,868,74.0,281,2
795340,Dead by Daylight - Curtain Call,2018-06-12,False,Mature,Action,no,472.0,6,0,0,0,0.0,441,2
42060,Wreckfest,2018-06-13,False,Teen,Racing,Arcade,2054.0,8,4,359,2574,79.0,347,5
58939,Golf Club: Wasteland,2018-06-24,False,Teen,Casual,"Indie, Sports",201.0,7,4,33,264,77.0,563,6
60894,Synth Riders,2018-07-12,False,Mature,Casual,"Indie, Action",207.0,3,5,8,221,86.0,180,1
356714,Among Us,2018-07-25,False,Everyone 10+,Casual,"Action, Simulation",5432.0,7,4,1239,7327,82.0,145,4
58134,Marvel's Spider-Man,2018-09-07,False,Teen,Action,no,4984.0,3,5,3501,10000,87.0,588,2
795324,Dead by Daylight - Shattered Bloodline,2018-09-18,False,Mature,Action,no,472.0,6,0,0,0,0.0,471,2
13172,The Gardens Between,2018-09-20,False,Everyone 10+,Indie,"Adventure, Puzzle",844.0,7,4,225,1252,79.0,224,5
249985,BLACK BIRD,2018-10-18,False,Mature,Indie,"Action, Simulation",12.0,5,0,2,19,0.0,239,2
404481,Red Dead Online,2018-10-26,False,Mature,Adventure,Action,487.0,5,4,103,637,0.0,333,4
45868,Monster Boy and the Cursed Kingdom,2018-12-04,False,Everyone,Indie,"Platformer, Adventure, Action",234.0,5,4,64,394,85.0,536,5
42370,Edge of Eternity,2018-12-05,False,Mature,Adventure,"Action, RPG, Strategy, Indie",548.0,6,3,34,661,0.0,610,2
795317,Dead by Daylight - Darkness Among Us,2018-12-11,False,Mature,Action,no,472.0,6,0,0,0,0.0,405,2
59306,Insurgency: Sandstorm,2018-12-12,False,Mature,Shooter,Action,1004.0,5,4,184,1292,80.0,326,3
630676,Judgment,2018-12-13,False,Mature,Adventure,Action,643.0,4,5,93,912,82.0,157,3
59313,Gris,2018-12-13,False,Everyone,Indie,"Platformer, Adventure, Puzzle",2527.0,9,5,1015,4628,83.0,281,5
395179,Marvel's Spider-Man: The City that Never Sleeps,2018-12-22,False,Teen,Adventure,no,5.0,2,4,21,45,75.0,167,0
